"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $249.24/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode"
"0xed1f155510b12221573a05cb7456ba06e5974ac123d5013434693152e726eee0","3383083","1489969108","3/20/2017 12:18:28 AM","0x1db3439a222c519ab44bb1144fc28167b4fa6ee6","0x77888faab224e03d76c517455c442cb6fe8dae40","","0","0","0","0.00066732","0.1663228368","42.51","","",""
"0x1838e702b663a815aa17cbb9250176cd3b77542e7f741f25d0c47c5c982baa0c","3385313","1490000964","3/20/2017 9:09:24 AM","0x7aa534c9b18d6f4117301971962986467e74eed1","0x77888faab224e03d76c517455c442cb6fe8dae40","","0.001","0","0.24924","0.00059464","0.1482080736","42.51","","",""
"0xe6c1b5290a4c8cbb5ba34bb2eef0455edcbb34d478aca16bec28f5428dfa5bba","3385579","1490004717","3/20/2017 10:11:57 AM","0x60e16961ad6138d2fb3e556fc284d9c2fff41486","0x77888faab224e03d76c517455c442cb6fe8dae40","","0.0001","0","0.024924","0.00059464","0.1482080736","42.51","","",""
"0x4c30c640e0e1d9a21a7ac23ab7fdda58e03d09342b45726180363d7e5900a28e","3385777","1490007600","3/20/2017 11:00:00 AM","0x2421550c599663c6e4551b8ba36fdbb904b4f0b7","0x77888faab224e03d76c517455c442cb6fe8dae40","","0.0001","0","0.024924","0.00059464","0.1482080736","42.51","","",""
"0x67896310f21c06bdfec393b18386732ff9da648aa6381144ef543f3f515ccec0","3386909","1490023390","3/20/2017 3:23:10 PM","0x772aa6aba53203f9517db70a4cea6ff5aacd9644","0x77888faab224e03d76c517455c442cb6fe8dae40","","0","0","0","0.00044488","0.1108818912","42.51","","",""
"0x054bdd0514ebb38c8cec30b979a17d881b13bf6989638bbc7fa668c2df7cdcb5","3387068","1490025897","3/20/2017 4:04:57 PM","0xc23eef7e75cdc9a207b49ea1176f390023ef2843","0x77888faab224e03d76c517455c442cb6fe8dae40","","0","0","0","0.00044488","0.1108818912","42.51","","",""
"0x3dd7003faa0b505606caea0441d97a71c456818e96ae3716756195f87169c723","3388458","1490045538","3/20/2017 9:32:18 PM","0xa06fb78bbade31ef721c017ee7ecd0fa4f4698e4","0x77888faab224e03d76c517455c442cb6fe8dae40","","0","0","0","0.000467124","0.11642598576","42.51","","",""
"0x42e55868e12a73059e2f5c4a8236c24de4e221c2fa3bd9da2041efca579bac72","3388700","1490048998","3/20/2017 10:29:58 PM","0x4202955b1bab607a5e348a2b3eaa0fb54e2138c4","0x77888faab224e03d76c517455c442cb6fe8dae40","","0.00000001","0","0.0000024924","0.00059464","0.1482080736","42.51","","",""
"0x7fe027b25adf2f10202130fe1f4f557c4e277f6f4eabe34385fa30cca7957cce","3389440","1490059733","3/21/2017 1:28:53 AM","0xd264b84cbcb5369dcb917e5ebac23d870622dfd5","0x77888faab224e03d76c517455c442cb6fe8dae40","","0","0","0","0.00042","0.1046808","42.67","Error(0)","Out of gas",""
"0xd4b8852232013be4e21fe4f80c4e6e4f8e849955fe462b63deed6e1e3116a5c8","3389454","1490059907","3/21/2017 1:31:47 AM","0xd264b84cbcb5369dcb917e5ebac23d870622dfd5","0x77888faab224e03d76c517455c442cb6fe8dae40","","0","0","0","0.00044488","0.1108818912","42.67","","",""
